BELNR,GJAHR,BUDAT,CPUDT,BUKRS,BLART,CPUTM
6100000001,2018,20180329,20180329,companyID_0000,KZ,130600
6100000002,2018,20180308,20180308,companyID_0000,KZ,122100
6100000003,2018,20180816,20180816,companyID_0000,KZ,130300
6100000004,2018,20180308,20180308,companyID_0000,KZ,122100
6100000005,2018,20180308,20180308,companyID_0000,KZ,122100
6100000006,2018,20180308,20180308,companyID_0000,KZ,122100
6100000007,2018,20180329,20180329,companyID_0000,KZ,130600
6100000008,2018,20180405,20180405,companyID_0000,KZ,135100
6100000009,2018,20180802,20180802,companyID_0000,KZ,071900
6100000010,2018,20180223,20180223,companyID_0000,KZ,111400
6100000011,2018,20180308,20180308,companyID_0000,KZ,122200
6100000012,2018,20180222,20180222,companyID_0000,KZ,151800
6100000013,2018,20180315,20180315,companyID_0000,KZ,131300
6100000014,2018,20180329,20180329,companyID_0000,KZ,131100
6100000015,2018,20181129,20181129,companyID_0000,KZ,151600
6100000016,2018,20180412,20180412,companyID_0000,KZ,120800
6100000017,2018,20180329,20180329,companyID_0000,KZ,130600
6100000018,2018,20180215,20180215,companyID_0000,KZ,135100
6100000019,2018,20180301,20180301,companyID_0000,KZ,130600
6100000020,2018,20180419,20180419,companyID_0000,KZ,124700
6100000021,2018,20180726,20180726,companyID_0000,KZ,160900
6100000022,2018,20181004,20181004,companyID_0000,KZ,145000
6100000023,2018,20181207,20181207,companyID_0000,KZ,080800
6100000024,2018,20180323,20180323,companyID_0000,KZ,062400
6100000025,2018,20180405,20180405,companyID_0000,KZ,135100
6100000026,2018,20180509,20180509,companyID_0000,KZ,121200
6100000027,2018,20180517,20180517,companyID_0000,KZ,125100
6100000028,2018,20180607,20180607,companyID_0000,KZ,111300
6100000029,2018,20180726,20180726,companyID_0000,KZ,160900
6100000030,2018,20180802,20180802,companyID_0000,KZ,140700
6100000031,2018,20180809,20180809,companyID_0000,KZ,123000
6100000032,2018,20180906,20180906,companyID_0000,KZ,120800
6100000033,2018,20181004,20181004,companyID_0000,KZ,145000
6100000034,2018,20181115,20181115,companyID_0000,KZ,143500
6100000035,2018,20180308,20180308,companyID_0000,KZ,122200
6100000036,2018,20180405,20180405,companyID_0000,KZ,135100
6100000037,2018,20180426,20180426,companyID_0000,KZ,091500
6100000038,2018,20180509,20180509,companyID_0000,KZ,121100
6100000039,2018,20180607,20180607,companyID_0000,KZ,111200
6100000040,2018,20180705,20180705,companyID_0000,KZ,121200
6100000041,2018,20180809,20180809,companyID_0000,KZ,123000
6100000042,2018,20180906,20180906,companyID_0000,KZ,120800
6100000043,2018,20181004,20181004,companyID_0000,KZ,145000
6100000044,2018,20181105,20181105,companyID_0000,KZ,115200
6100000045,2018,20181108,20181108,companyID_0000,KZ,154500
6100000046,2018,20181207,20181207,companyID_0000,KZ,080800
6100000047,2019,20190103,20190103,companyID_0000,KZ,151200
6100000048,2019,20190110,20190110,companyID_0000,KZ,144500
6100000049,2018,20180426,20180426,companyID_0000,KZ,091500
6100000050,2018,20180524,20180524,companyID_0000,KZ,113600
6100000051,2018,20180628,20180628,companyID_0000,KZ,120500
6100000052,2018,20180802,20180802,companyID_0000,KZ,140700
6100000053,2018,20180830,20180830,companyID_0000,KZ,134000
6100000054,2018,20181004,20181004,companyID_0000,KZ,145000
6100000055,2019,20190103,20190103,companyID_0000,KZ,151200
6100000056,2019,20190104,20190104,companyID_0000,KZ,225900
6100000057,2018,20180329,20180329,companyID_0000,KZ,131000
6100000058,2018,20180410,20180410,companyID_0000,KZ,141500
