BELNR,BUZEI,LIFNR,GJAHR,DMBTR,BUKRS,AUGBL,KOART,AUGDT
6100000001,1,vendorID_0000,2018,298.0,companyID_0000,6100000001,K,20180329
6100000002,1,vendorID_0001,2018,557.0,companyID_0000,6100000002,K,20180308
6100000003,1,vendorID_0002,2018,76210.0,companyID_0000,6100000003,K,20180816
6100000004,1,vendorID_0003,2018,28.0,companyID_0000,6100000004,K,20180308
6100000005,1,vendorID_0003,2018,37.0,companyID_0000,6100000005,K,20180308
6100000006,1,vendorID_0003,2018,44.0,companyID_0000,6100000006,K,20180308
6100000007,1,vendorID_0000,2018,166.0,companyID_0000,6100000007,K,20180329
6100000008,1,vendorID_0004,2018,433.0,companyID_0000,6100000008,K,20180405
6100000009,1,vendorID_0004,2018,433.0,companyID_0000,6100000009,K,20180802
6100000010,1,vendorID_0005,2018,37819.0,companyID_0000,6100000010,K,20180223
6100000011,1,vendorID_0006,2018,3227.0,companyID_0000,6100000011,K,20180308
6100000012,1,vendorID_0007,2018,18186.0,companyID_0000,6100000012,K,20180222
6100000013,1,vendorID_0008,2018,1039.0,companyID_0000,6100000013,K,20180315
6100000014,1,vendorID_0009,2018,1668264.0,companyID_0000,6100000014,K,20180329
6100000015,1,vendorID_0009,2018,1668264.0,companyID_0000,6100000015,K,20181129
6100000016,1,vendorID_0010,2018,112583.0,companyID_0000,6100000016,K,20180412
6100000017,1,vendorID_0011,2018,320.0,companyID_0000,6100000017,K,20180329
6100000018,1,vendorID_0012,2018,857.0,companyID_0000,6100000018,K,20180215
6100000019,1,vendorID_0013,2018,17414.0,companyID_0000,6100000019,K,20180301
6100000020,1,vendorID_0013,2018,17414.0,companyID_0000,6100000020,K,20180419
6100000021,1,vendorID_0013,2018,17414.0,companyID_0000,6100000021,K,20180726
6100000022,1,vendorID_0013,2018,17414.0,companyID_0000,6100000022,K,20181004
6100000023,1,vendorID_0013,2018,17414.0,companyID_0000,6100000023,K,20181207
6100000024,1,vendorID_0014,2018,457836.0,companyID_0000,6100000024,K,20180323
6100000025,1,vendorID_0014,2018,457836.0,companyID_0000,6100000025,K,20180405
6100000026,1,vendorID_0014,2018,457836.0,companyID_0000,6100000026,K,20180509
6100000027,1,vendorID_0014,2018,457836.0,companyID_0000,6100000027,K,20180517
6100000028,1,vendorID_0014,2018,457836.0,companyID_0000,6100000028,K,20180607
6100000029,1,vendorID_0014,2018,457836.0,companyID_0000,6100000029,K,20180726
6100000030,1,vendorID_0014,2018,457836.0,companyID_0000,6100000030,K,20180802
6100000031,1,vendorID_0014,2018,457836.0,companyID_0000,6100000031,K,20180809
6100000032,1,vendorID_0014,2018,457836.0,companyID_0000,6100000032,K,20180906
6100000033,1,vendorID_0014,2018,457836.0,companyID_0000,6100000033,K,20181004
6100000034,1,vendorID_0014,2018,457836.0,companyID_0000,6100000034,K,20181115
6100000035,1,vendorID_0015,2018,405009.0,companyID_0000,6100000035,K,20180308
6100000036,1,vendorID_0015,2018,405009.0,companyID_0000,6100000036,K,20180405
6100000037,1,vendorID_0015,2018,405009.0,companyID_0000,6100000037,K,20180426
6100000038,1,vendorID_0015,2018,405009.0,companyID_0000,6100000038,K,20180509
6100000039,1,vendorID_0015,2018,405009.0,companyID_0000,6100000039,K,20180607
6100000040,1,vendorID_0015,2018,405009.0,companyID_0000,6100000040,K,20180705
6100000041,1,vendorID_0015,2018,405009.0,companyID_0000,6100000041,K,20180809
6100000042,1,vendorID_0015,2018,405009.0,companyID_0000,6100000042,K,20180906
6100000043,1,vendorID_0015,2018,405009.0,companyID_0000,6100000043,K,20181004
6100000044,1,vendorID_0015,2018,405009.0,companyID_0000,6100000044,K,20181105
6100000045,1,vendorID_0015,2018,405009.0,companyID_0000,6100000045,K,20181108
6100000046,1,vendorID_0015,2018,405009.0,companyID_0000,6100000046,K,20181207
6100000047,1,vendorID_0015,2019,405009.0,companyID_0000,6100000047,K,20190103
6100000048,1,vendorID_0015,2019,405009.0,companyID_0000,6100000048,K,20190110
6100000049,1,vendorID_0016,2018,372390.0,companyID_0000,6100000049,K,20180426
6100000050,1,vendorID_0016,2018,372390.0,companyID_0000,6100000050,K,20180524
6100000051,1,vendorID_0016,2018,372390.0,companyID_0000,6100000051,K,20180628
6100000052,1,vendorID_0016,2018,372390.0,companyID_0000,6100000052,K,20180802
6100000053,1,vendorID_0016,2018,372390.0,companyID_0000,6100000053,K,20180830
6100000054,1,vendorID_0016,2018,372390.0,companyID_0000,6100000054,K,20181004
6100000055,1,vendorID_0016,2019,372390.0,companyID_0000,6100000055,K,20190103
6100000056,1,vendorID_0016,2019,372390.0,companyID_0000,6100000056,K,20190104
6100000057,1,vendorID_0017,2018,950029.0,companyID_0000,6100000057,K,20180329
6100000058,1,vendorID_0017,2018,950029.0,companyID_0000,6100000058,K,20180410
6100000059,1,vendorID_0017,2018,950029.0,companyID_0000,6100000059,K,20180426
6100000060,1,vendorID_0017,2018,950029.0,companyID_0000,6100000060,K,20180524
6100000061,1,vendorID_0017,2018,950029.0,companyID_0000,6100000061,K,20180531
6100000062,1,vendorID_0017,2018,950029.0,companyID_0000,6100000062,K,20180628
6100000063,1,vendorID_0017,2018,950029.0,companyID_0000,6100000063,K,20180705
6100000064,1,vendorID_0017,2018,950029.0,companyID_0000,6100000064,K,20180726
6100000065,1,vendorID_0017,2018,950029.0,companyID_0000,6100000065,K,20180830
6100000066,1,vendorID_0017,2018,950029.0,companyID_0000,6100000066,K,20180928
6100000067,1,vendorID_0017,2018,950029.0,companyID_0000,6100000067,K,20181004
6100000068,1,vendorID_0017,2018,950029.0,companyID_0000,6100000068,K,20181011
6100000069,1,vendorID_0017,2018,950029.0,companyID_0000,6100000069,K,20181018
6100000070,1,vendorID_0017,2018,950029.0,companyID_0000,6100000070,K,20181026
6100000071,1,vendorID_0017,2018,950029.0,companyID_0000,6100000071,K,20181115
6100000072,1,vendorID_0017,2018,950029.0,companyID_0000,6100000072,K,20181129
6100000073,1,vendorID_0017,2019,950029.0,companyID_0000,6100000073,K,20190104
6100000074,1,vendorID_0016,2018,502814.0,companyID_0000,6100000074,K,20180705
6100000075,1,vendorID_0016,2018,502814.0,companyID_0000,6100000075,K,20180802
6100000076,1,vendorID_0016,2018,502814.0,companyID_0000,6100000076,K,20180830
6100000077,1,vendorID_0016,2018,502814.0,companyID_0000,6100000077,K,20181026
6100000078,1,vendorID_0016,2019,502814.0,companyID_0000,6100000078,K,20190103
6100000079,1,vendorID_0016,2019,502814.0,companyID_0000,6100000079,K,20190104
6100000080,1,vendorID_0018,2018,155884.0,companyID_0000,6100000080,K,20180222
6100000081,1,vendorID_0018,2018,155884.0,companyID_0000,6100000081,K,20180329
6100000082,1,vendorID_0018,2018,155884.0,companyID_0000,6100000082,K,20180426
6100000083,1,vendorID_0018,2018,155884.0,companyID_0000,6100000083,K,20180524
6100000084,1,vendorID_0018,2018,155884.0,companyID_0000,6100000084,K,20180705
6100000085,1,vendorID_0018,2018,155884.0,companyID_0000,6100000085,K,20180726
6100000086,1,vendorID_0018,2018,155884.0,companyID_0000,6100000086,K,20180830
6100000087,1,vendorID_0018,2018,155884.0,companyID_0000,6100000087,K,20180928
6100000088,1,vendorID_0018,2018,155884.0,companyID_0000,6100000088,K,20181101
6100000089,1,vendorID_0018,2018,155884.0,companyID_0000,6100000089,K,20181129
6100000090,1,vendorID_0018,2019,155884.0,companyID_0000,6100000090,K,20190104
6100000091,1,vendorID_0019,2018,277128.0,companyID_0000,6100000091,K,20180222
6100000092,1,vendorID_0019,2018,277128.0,companyID_0000,6100000092,K,20180329
6100000093,1,vendorID_0019,2018,277128.0,companyID_0000,6100000093,K,20180426
6100000094,1,vendorID_0019,2018,277128.0,companyID_0000,6100000094,K,20180531
6100000095,1,vendorID_0019,2018,277128.0,companyID_0000,6100000095,K,20180628
6100000096,1,vendorID_0019,2018,277128.0,companyID_0000,6100000096,K,20180726
6100000097,1,vendorID_0019,2018,277128.0,companyID_0000,6100000097,K,20180830
6100000098,1,vendorID_0019,2018,277128.0,companyID_0000,6100000098,K,20181004
6100000099,1,vendorID_0019,2018,277128.0,companyID_0000,6100000099,K,20181101
6100000100,1,vendorID_0020,2018,4312806.0,companyID_0000,6100000100,K,20180315
6100000101,1,vendorID_0020,2018,4312806.0,companyID_0000,6100000101,K,20180329
6100000102,1,vendorID_0020,2018,4312806.0,companyID_0000,6100000102,K,20180517
6100000103,1,vendorID_0020,2018,4312806.0,companyID_0000,6100000103,K,20180531
6100000104,1,vendorID_0020,2018,4312806.0,companyID_0000,6100000104,K,20180705
6100000105,1,vendorID_0020,2018,4312806.0,companyID_0000,6100000105,K,20180802
6100000106,1,vendorID_0020,2018,4312806.0,companyID_0000,6100000106,K,20180906
6100000107,1,vendorID_0020,2018,4312806.0,companyID_0000,6100000107,K,20180928
6100000108,1,vendorID_0020,2018,4312806.0,companyID_0000,6100000108,K,20181004
6100000109,1,vendorID_0020,2018,4312806.0,companyID_0000,6100000109,K,20181101
6100000110,1,vendorID_0020,2018,4312806.0,companyID_0000,6100000110,K,20181115
6100000111,1,vendorID_0020,2018,4312806.0,companyID_0000,6100000111,K,20181129
6100000112,1,vendorID_0020,2019,4312806.0,companyID_0000,6100000112,K,20190104
6100000113,1,vendorID_0021,2018,22251.0,companyID_0000,6100000113,K,20180308
6100000114,1,vendorID_0022,2018,58196.0,companyID_0000,6100000114,K,20180426
6100000115,1,vendorID_0022,2018,58196.0,companyID_0000,6100000115,K,20180524
6100000116,1,vendorID_0022,2018,58196.0,companyID_0000,6100000116,K,20180705
6100000117,1,vendorID_0022,2018,58196.0,companyID_0000,6100000117,K,20180726
6100000118,1,vendorID_0022,2018,58196.0,companyID_0000,6100000118,K,20180802
6100000119,1,vendorID_0022,2018,58196.0,companyID_0000,6100000119,K,20181213
6100000120,1,vendorID_0023,2018,1368.0,companyID_0000,6100000120,K,20180405
6100000121,1,vendorID_0024,2018,74.0,companyID_0000,6100000121,K,20180308
6100000122,1,vendorID_0024,2018,45.0,companyID_0000,6100000122,K,20180308
6100000123,1,vendorID_0025,2018,6754.0,companyID_0000,6100000123,K,20181004
6100000124,1,vendorID_0025,2018,6754.0,companyID_0000,6100000124,K,20181108
6100000125,1,vendorID_0025,2018,6754.0,companyID_0000,6100000125,K,20181207
6100000126,1,vendorID_0025,2019,6754.0,companyID_0000,6100000126,K,20190110
6100000127,1,vendorID_0025,2018,6754.0,companyID_0000,6100000127,K,20180405
6100000128,1,vendorID_0025,2018,6754.0,companyID_0000,6100000128,K,20180607
6100000129,1,vendorID_0025,2018,6754.0,companyID_0000,6100000129,K,20180705
6100000130,1,vendorID_0025,2018,6754.0,companyID_0000,6100000130,K,20180809
6100000131,1,vendorID_0025,2018,6754.0,companyID_0000,6100000131,K,20181025
6100000132,1,vendorID_0025,2018,6754.0,companyID_0000,6100000132,K,20181030
6100000133,1,vendorID_0003,2018,83.0,companyID_0000,6100000133,K,20180308
6100000134,1,vendorID_0003,2018,19.0,companyID_0000,6100000134,K,20180308
6100000135,1,vendorID_0003,2018,5.0,companyID_0000,6100000135,K,20180308
6100000136,1,vendorID_0012,2018,549.0,companyID_0000,6100000136,K,20180802
6100000137,1,vendorID_0011,2018,22.0,companyID_0000,6100000137,K,20180329
6100000138,1,vendorID_0003,2018,106.0,companyID_0000,6100000138,K,20180308
6100000139,1,vendorID_0006,2018,12852.0,companyID_0000,6100000139,K,20180607
6100000140,1,vendorID_0019,2018,277128.0,companyID_0000,6100000140,K,20180222
6100000141,1,vendorID_0019,2018,277128.0,companyID_0000,6100000141,K,20180329
6100000142,1,vendorID_0019,2018,277128.0,companyID_0000,6100000142,K,20180426
6100000143,1,vendorID_0019,2018,277128.0,companyID_0000,6100000143,K,20180524
6100000144,1,vendorID_0019,2018,277128.0,companyID_0000,6100000144,K,20180628
6100000145,1,vendorID_0019,2018,277128.0,companyID_0000,6100000145,K,20180726
6100000146,1,vendorID_0019,2018,277128.0,companyID_0000,6100000146,K,20180928
6100000147,1,vendorID_0019,2018,277128.0,companyID_0000,6100000147,K,20181108
6100000148,1,vendorID_0019,2018,277128.0,companyID_0000,6100000148,K,20181129
6100000149,1,vendorID_0021,2018,3065.0,companyID_0000,6100000149,K,20180308
6100000150,1,vendorID_0026,2018,6903.0,companyID_0000,6100000150,K,20180913
6100000151,1,vendorID_0027,2018,938.0,companyID_0000,6100000151,K,20180329
6100000152,1,vendorID_0027,2018,34.0,companyID_0000,6100000152,K,20180329
6100000153,1,vendorID_0027,2018,63.0,companyID_0000,6100000153,K,20180329
6100000154,1,vendorID_0028,2018,57.0,companyID_0000,6100000154,K,20180329
6100000155,1,vendorID_0029,2018,428.0,companyID_0000,6100000155,K,20180308
6100000156,1,vendorID_0029,2018,127.0,companyID_0000,6100000156,K,20180308
6100000157,1,vendorID_0030,2018,3464.0,companyID_0000,6100000157,K,20180405
6100000158,1,vendorID_0030,2018,3464.0,companyID_0000,6100000158,K,20180823
6100000159,1,vendorID_0030,2018,3464.0,companyID_0000,6100000159,K,20180823
6100000160,1,vendorID_0031,2018,260.0,companyID_0000,6100000160,K,20180208
6100000161,1,vendorID_0031,2018,45.0,companyID_0000,6100000161,K,20180208
6100000162,1,vendorID_0032,2018,181.0,companyID_0000,6100000162,K,20180329
6100000163,1,vendorID_0003,2018,646.0,companyID_0000,6100000163,K,20180308
6100000164,1,vendorID_0003,2018,49.0,companyID_0000,6100000164,K,20180308
6100000165,1,vendorID_0033,2018,173.0,companyID_0000,6100000165,K,20180208
6100000166,1,vendorID_0034,2018,649519.0,companyID_0000,6100000166,K,20180222
6100000167,1,vendorID_0034,2018,649519.0,companyID_0000,6100000167,K,20180227
6100000168,1,vendorID_0034,2018,649519.0,companyID_0000,6100000168,K,20180308
6100000169,1,vendorID_0034,2018,649519.0,companyID_0000,6100000169,K,20180315
6100000170,1,vendorID_0034,2018,649519.0,companyID_0000,6100000170,K,20180322
6100000171,1,vendorID_0034,2018,649519.0,companyID_0000,6100000171,K,20180329
6100000172,1,vendorID_0034,2018,649519.0,companyID_0000,6100000172,K,20180426
6100000173,1,vendorID_0034,2018,649519.0,companyID_0000,6100000173,K,20180426
6100000174,1,vendorID_0034,2018,649519.0,companyID_0000,6100000174,K,20180524
6100000175,1,vendorID_0034,2018,649519.0,companyID_0000,6100000175,K,20180528
6100000176,1,vendorID_0034,2018,649519.0,companyID_0000,6100000176,K,20180528
6100000177,1,vendorID_0034,2018,649519.0,companyID_0000,6100000177,K,20180528
6100000178,1,vendorID_0034,2018,649519.0,companyID_0000,6100000178,K,20180528
6100000179,1,vendorID_0034,2018,649519.0,companyID_0000,6100000179,K,20180531
6100000180,1,vendorID_0034,2018,649519.0,companyID_0000,6100000180,K,20180531
6100000181,1,vendorID_0034,2018,649519.0,companyID_0000,6100000181,K,20180531
6100000182,1,vendorID_0034,2018,649519.0,companyID_0000,6100000182,K,20180614
6100000183,1,vendorID_0034,2018,649519.0,companyID_0000,6100000183,K,20180628
6100000184,1,vendorID_0034,2018,649519.0,companyID_0000,6100000184,K,20180628
6100000185,1,vendorID_0034,2018,649519.0,companyID_0000,6100000185,K,20180705
6100000186,1,vendorID_0034,2018,649519.0,companyID_0000,6100000186,K,20180705
6100000187,1,vendorID_0034,2018,649519.0,companyID_0000,6100000187,K,20180726
6100000188,1,vendorID_0034,2018,649519.0,companyID_0000,6100000188,K,20180802
6100000189,1,vendorID_0034,2018,649519.0,companyID_0000,6100000189,K,20180817
6100000190,1,vendorID_0034,2018,649519.0,companyID_0000,6100000190,K,20180823
6100000191,1,vendorID_0034,2018,649519.0,companyID_0000,6100000191,K,20180823
6100000192,1,vendorID_0034,2018,649519.0,companyID_0000,6100000192,K,20180830
6100000193,1,vendorID_0034,2018,649519.0,companyID_0000,6100000193,K,20180920
6100000194,1,vendorID_0034,2018,649519.0,companyID_0000,6100000194,K,20180928
6100000195,1,vendorID_0034,2018,649519.0,companyID_0000,6100000195,K,20180928
6100000196,1,vendorID_0034,2018,649519.0,companyID_0000,6100000196,K,20181026
6100000197,1,vendorID_0034,2018,649519.0,companyID_0000,6100000197,K,20181026
6100000198,1,vendorID_0034,2018,649519.0,companyID_0000,6100000198,K,20181101
6100000199,1,vendorID_0034,2018,649519.0,companyID_0000,6100000199,K,20181122
6100000200,1,vendorID_0034,2018,649519.0,companyID_0000,6100000200,K,20181129
6100000201,1,vendorID_0034,2018,649519.0,companyID_0000,6100000201,K,20181129
6100000202,1,vendorID_0034,2018,649519.0,companyID_0000,6100000202,K,20181207
6100000203,1,vendorID_0034,2019,649519.0,companyID_0000,6100000203,K,20190103
