CHNGIND,CHANGENR,VALUE_NEW,TABNAME,FNAME
U,0000000001,SRM: Created,EBAN,SRM_STATUS
U,0000000002,SRM: Complete,EBAN,SRM_STATUS
U,0000000003,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000004,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000005,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000006,SRM: Ordered,EBAN,SRM_STATUS
U,0000000007,SRM: Change was Transmitted,EBAN,SRM_STATUS
I,0000000008,00001,EKPO,EBELP
U,0000000009,SRM: Created,EBAN,SRM_STATUS
U,0000000010,SRM: Complete,EBAN,SRM_STATUS
U,0000000011,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000012,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000013,SRM: Ordered,EBAN,SRM_STATUS
U,0000000014,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000015,SRM: Change was Transmitted,EBAN,SRM_STATUS
I,0000000016,00001,EKPO,EBELP
U,0000000017,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000018,SRM: Transfer Failed (E.Sys.),EBAN,SRM_STATUS
U,0000000019,SRM: Created,EBAN,SRM_STATUS
U,0000000020,SRM: Complete,EBAN,SRM_STATUS
U,0000000021,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000022,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000023,SRM: Ordered,EBAN,SRM_STATUS
U,0000000024,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000025,SRM: Change was Transmitted,EBAN,SRM_STATUS
I,0000000026,00001,EKPO,EBELP
U,0000000027,Cancel Goods Receipt,EKPO,UNMAPPED_ACTIVITY
U,0000000028,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000029,SRM: Transfer Failed (E.Sys.),EBAN,SRM_STATUS
U,0000000030,SRM: Created,EBAN,SRM_STATUS
U,0000000031,SRM: Complete,EBAN,SRM_STATUS
U,0000000032,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000033,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000034,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000035,SRM: Ordered,EBAN,SRM_STATUS
U,0000000036,SRM: Change was Transmitted,EBAN,SRM_STATUS
I,0000000037,00001,EKPO,EBELP
U,0000000038,SRM: Created,EBAN,SRM_STATUS
U,0000000039,SRM: Complete,EBAN,SRM_STATUS
U,0000000040,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000041,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000042,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000043,SRM: Ordered,EBAN,SRM_STATUS
U,0000000044,SRM: Change was Transmitted,EBAN,SRM_STATUS
I,0000000045,00002,EKPO,EBELP
U,0000000046,SRM: Created,EBAN,SRM_STATUS
U,0000000047,SRM: Complete,EBAN,SRM_STATUS
U,0000000048,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000049,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000050,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000051,SRM: Ordered,EBAN,SRM_STATUS
U,0000000052,SRM: Change was Transmitted,EBAN,SRM_STATUS
I,0000000053,00003,EKPO,EBELP
U,0000000054,SRM: Created,EBAN,SRM_STATUS
U,0000000055,SRM: Complete,EBAN,SRM_STATUS
U,0000000056,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000057,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000058,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000059,SRM: Ordered,EBAN,SRM_STATUS
U,0000000060,SRM: Change was Transmitted,EBAN,SRM_STATUS
I,0000000061,00001,EKPO,EBELP
U,0000000062,SRM: Created,EBAN,SRM_STATUS
U,0000000063,SRM: Complete,EBAN,SRM_STATUS
U,0000000064,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000065,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000066,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000067,SRM: Ordered,EBAN,SRM_STATUS
I,0000000068,00001,EKPO,EBELP
U,0000000069,SRM: Change was Transmitted,EBAN,SRM_STATUS
U,0000000070,Vendor creates debit memo,EKPO,UNMAPPED_ACTIVITY
U,0000000071,Cancel Invoice Receipt,EKPO,UNMAPPED_ACTIVITY
U,0000000072,SRM: Created,EBAN,SRM_STATUS
U,0000000073,SRM: Complete,EBAN,SRM_STATUS
U,0000000074,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000075,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000076,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000077,SRM: Ordered,EBAN,SRM_STATUS
I,0000000078,00002,EKPO,EBELP
U,0000000079,SRM: Change was Transmitted,EBAN,SRM_STATUS
U,0000000080,SRM: Created,EBAN,SRM_STATUS
U,0000000081,SRM: Complete,EBAN,SRM_STATUS
U,0000000082,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000083,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000084,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000085,SRM: Ordered,EBAN,SRM_STATUS
U,0000000086,SRM: Change was Transmitted,EBAN,SRM_STATUS
I,0000000087,00001,EKPO,EBELP
U,0000000088,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000089,Change Delivery Indicator,EKPO,UNMAPPED_ACTIVITY
U,0000000090,SRM: Created,EBAN,SRM_STATUS
U,0000000091,SRM: Complete,EBAN,SRM_STATUS
U,0000000092,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000093,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000094,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000095,SRM: Ordered,EBAN,SRM_STATUS
U,0000000096,SRM: Change was Transmitted,EBAN,SRM_STATUS
I,0000000097,00001,EKPO,EBELP
U,0000000098,Remove Payment Block,EKPO,UNMAPPED_ACTIVITY
U,0000000099,SRM: Created,EBAN,SRM_STATUS
U,0000000100,SRM: Complete,EBAN,SRM_STATUS
U,0000000101,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000102,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000103,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000104,SRM: Ordered,EBAN,SRM_STATUS
U,0000000105,SRM: Change was Transmitted,EBAN,SRM_STATUS
I,0000000106,00001,EKPO,EBELP
U,0000000107,SRM: Created,EBAN,SRM_STATUS
U,0000000108,SRM: Complete,EBAN,SRM_STATUS
U,0000000109,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000110,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000111,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000112,SRM: Ordered,EBAN,SRM_STATUS
I,0000000113,00001,EKPO,EBELP
U,0000000114,SRM: Change was Transmitted,EBAN,SRM_STATUS
U,0000000115,SRM: Created,EBAN,SRM_STATUS
U,0000000116,SRM: Complete,EBAN,SRM_STATUS
U,0000000117,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000118,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000119,SRM: Ordered,EBAN,SRM_STATUS
U,0000000120,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000121,SRM: Change was Transmitted,EBAN,SRM_STATUS
I,0000000122,00001,EKPO,EBELP
U,0000000123,SRM: Created,EBAN,SRM_STATUS
U,0000000124,SRM: Complete,EBAN,SRM_STATUS
U,0000000125,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000126,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000127,SRM: Ordered,EBAN,SRM_STATUS
U,0000000128,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000129,SRM: Deleted,EBAN,SRM_STATUS
U,0000000130,Change Price,EKPO,UNMAPPED_ACTIVITY
U,0000000131,SRM: Created,EBAN,SRM_STATUS
U,0000000132,SRM: Complete,EBAN,SRM_STATUS
U,0000000133,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000134,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000135,SRM: Ordered,EBAN,SRM_STATUS
U,0000000136,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000137,SRM: Deleted,EBAN,SRM_STATUS
U,0000000138,Change Price,EKPO,UNMAPPED_ACTIVITY
U,0000000139,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000140,SRM: Transfer Failed (E.Sys.),EBAN,SRM_STATUS
U,0000000141,SRM: Created,EBAN,SRM_STATUS
U,0000000142,SRM: Complete,EBAN,SRM_STATUS
U,0000000143,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000144,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000145,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000146,SRM: Ordered,EBAN,SRM_STATUS
