BELNR,CPUTM,EBELP,GJAHR,VGABE,BUDAT,CPUDT,EBELN
4900000001,064400,00001,2018,1,20180306,20180306,2000000000
5100000001,075300,00001,2018,2,20180306,20180306,2000000000
4900000002,120900,00001,2018,1,20180116,20180116,2000000001
,120900,00001,2018,1,20180116,20180116,2000000001
5100000002,144400,00001,2018,2,20180116,20180116,2000000001
4900000003,145300,00001,2018,1,20180206,20180206,2000000002
,145300,00001,2018,1,20180206,20180206,2000000002
4900000004,102000,00001,2018,1,20180816,20180816,2000000002
,102000,00001,2018,1,20180816,20180816,2000000002
5100000003,104100,00001,2018,2,20180816,20180816,2000000002
4900000005,131400,00001,2018,1,20180112,20180112,2000000003
5100000004,155800,00001,2018,2,20180212,20180212,2000000003
4900000006,131400,00002,2018,1,20180112,20180112,2000000003
5100000005,155800,00002,2018,2,20180212,20180212,2000000003
4900000007,131400,00003,2018,1,20180112,20180112,2000000003
5100000006,155800,00003,2018,2,20180212,20180212,2000000003
4900000008,131300,00001,2018,1,20180112,20180112,2000000004
5100000007,153000,00001,2018,2,20180305,20180305,2000000004
4900000009,080900,00001,2018,1,20180119,20180119,2000000005
5100000008,042600,00001,2018,2,20180403,20180403,2000000005
5100000008,071700,00001,2018,2,20180802,20180802,2000000005
4900000010,090400,00001,2018,1,20180109,20180109,2000000006
,090400,00001,2018,1,20180109,20180109,2000000006
5100000009,115900,00001,2018,2,20180109,20180109,2000000006
5100000010,081100,00001,2018,2,20180117,20180117,2000000007
4900000011,125300,00001,2018,1,20180221,20180221,2000000007
4900000012,115300,00001,2018,1,20180115,20180115,2000000008
,115300,00001,2018,1,20180115,20180115,2000000008
5100000011,144900,00001,2018,2,20180117,20180117,2000000008
,072700,00001,2018,1,20180308,20180308,2000000009
4900000013,072700,00001,2018,1,20180308,20180308,2000000009
5100000012,154700,00001,2018,2,20180309,20180309,2000000009
4900000014,151100,00001,2018,1,20180110,20180110,2000000010
,151100,00001,2018,1,20180110,20180110,2000000010
5100000013,094900,00001,2018,2,20180116,20180116,2000000010
4900000015,082800,00001,2018,1,20180928,20180928,2000000010
,082800,00001,2018,1,20180928,20180928,2000000010
5100000014,110600,00001,2018,2,20180928,20180928,2000000010
4900000016,163800,00001,2018,1,20181218,20181218,2000000010
,163800,00001,2018,1,20181218,20181218,2000000010
4900000017,101000,00001,2018,1,20180111,20180111,2000000011
,101000,00001,2018,1,20180111,20180111,2000000011
5100000015,144500,00001,2018,2,20180411,20180411,2000000011
4900000018,084100,00001,2018,1,20180226,20180226,2000000012
5100000016,151200,00001,2018,2,20180305,20180305,2000000012
4900000019,132700,00001,2018,1,20180116,20180116,2000000013
,132700,00001,2018,1,20180116,20180116,2000000013
5100000017,161500,00001,2018,2,20180124,20180124,2000000013
4900000020,154700,00001,2018,1,20180216,20180216,2000000014
,154700,00001,2018,1,20180216,20180216,2000000014
5100000018,132000,00001,2018,2,20180219,20180219,2000000014
4900000021,140800,00001,2018,1,20180410,20180410,2000000014
,140800,00001,2018,1,20180410,20180410,2000000014
5100000019,142200,00001,2018,2,20180410,20180410,2000000014
4900000022,102900,00001,2018,1,20180724,20180724,2000000014
,102900,00001,2018,1,20180724,20180724,2000000014
5100000020,130000,00001,2018,2,20180725,20180725,2000000014
4900000023,124400,00001,2018,1,20180914,20180914,2000000014
,124400,00001,2018,1,20180914,20180914,2000000014
5100000021,092500,00001,2018,2,20180917,20180917,2000000014
4900000024,122300,00001,2018,1,20181128,20181128,2000000014
,122300,00001,2018,1,20181128,20181128,2000000014
5100000022,124100,00001,2018,2,20181129,20181129,2000000014
4900000025,001600,00001,2018,1,20180125,20180125,2000000015
,001600,00001,2018,1,20180125,20180125,2000000015
4900000026,104600,00001,2018,1,20180205,20180205,2000000015
,104600,00001,2018,1,20180205,20180205,2000000015
5100000024,154600,00001,2018,2,20180206,20180206,2000000015
5100000025,160300,00001,2018,2,20180313,20180313,2000000015
5100000025,062600,00001,2018,2,20180323,20180323,2000000015
4900000027,073200,00001,2018,1,20180326,20180326,2000000015
,073200,00001,2018,1,20180326,20180326,2000000015
4900000028,073400,00001,2018,1,20180326,20180326,2000000015
,073400,00001,2018,1,20180326,20180326,2000000015
4900000029,073600,00001,2018,1,20180326,20180326,2000000015
