EBELN,BUKRS,LIFNR,BSART
2000000000,companyID_0000,vendorID_0000,ECP
2000000001,companyID_0000,vendorID_0001,ECP
2000000002,companyID_0000,vendorID_0002,ECP
2000000003,companyID_0000,vendorID_0003,ECP
2000000004,companyID_0000,vendorID_0000,ECP
2000000005,companyID_0000,vendorID_0004,ECP
2000000006,companyID_0000,vendorID_0005,ECP
2000000007,companyID_0000,vendorID_0006,ECP
2000000008,companyID_0000,vendorID_0007,ECP
2000000009,companyID_0000,vendorID_0008,ECP
2000000010,companyID_0000,vendorID_0009,ECP
2000000011,companyID_0000,vendorID_0010,ECP
2000000012,companyID_0000,vendorID_0011,ECP
2000000013,companyID_0000,vendorID_0012,ECP
2000000014,companyID_0000,vendorID_0013,ECP
2000000015,companyID_0000,vendorID_0014,ECP
2000000016,companyID_0000,vendorID_0015,ECP
2000000017,companyID_0000,vendorID_0016,ECP
2000000018,companyID_0000,vendorID_0017,ECP
2000000019,companyID_0000,vendorID_0016,ECP
2000000020,companyID_0000,vendorID_0018,ECP
2000000021,companyID_0000,vendorID_0019,ECP
2000000022,companyID_0000,vendorID_0020,ECP
2000000023,companyID_0000,vendorID_0021,ECP
2000000024,companyID_0000,vendorID_0022,ECP
2000000025,companyID_0000,vendorID_0023,ECP
2000000026,companyID_0000,vendorID_0024,ECP
2000000027,companyID_0000,vendorID_0025,ECP
2000000028,companyID_0000,vendorID_0025,ECP
2000000029,companyID_0000,vendorID_0003,ECP
2000000030,companyID_0000,vendorID_0012,ECP
2000000031,companyID_0000,vendorID_0011,ECP
2000000032,companyID_0000,vendorID_0003,ECP
2000000033,companyID_0000,vendorID_0006,ECP
2000000034,companyID_0000,vendorID_0019,ECP
2000000035,companyID_0000,vendorID_0021,ECP
2000000036,companyID_0000,vendorID_0026,ECP
2000000037,companyID_0000,vendorID_0027,ECP
2000000038,companyID_0000,vendorID_0028,ECP
2000000039,companyID_0000,vendorID_0029,ECP
2000000040,companyID_0000,vendorID_0030,ECP
2000000041,companyID_0000,vendorID_0031,ECP
2000000042,companyID_0000,vendorID_0031,ECP
2000000043,companyID_0000,vendorID_0024,ECP
2000000044,companyID_0000,vendorID_0032,ECP
2000000045,companyID_0000,vendorID_0003,ECP
2000000046,companyID_0000,vendorID_0033,ECP
2000000047,companyID_0000,vendorID_0034,ECP
2000000048,companyID_0000,vendorID_0035,ECP
2000000049,companyID_0000,vendorID_0036,ECP
2000000050,companyID_0000,vendorID_0037,ECP
2000000051,companyID_0000,vendorID_0029,ECP
2000000052,companyID_0000,vendorID_0038,ECP
2000000053,companyID_0000,vendorID_0039,ECP
2000000054,companyID_0000,vendorID_0027,ECP
2000000055,companyID_0000,vendorID_0040,ECP
2000000056,companyID_0000,vendorID_0040,ECP
2000000057,companyID_0000,vendorID_0040,ECP
2000000058,companyID_0000,vendorID_0040,ECP
2000000059,companyID_0000,vendorID_0040,ECP
2000000060,companyID_0000,vendorID_0040,ECP
2000000061,companyID_0000,vendorID_0040,ECP
2000000062,companyID_0000,vendorID_0040,ECP
2000000063,companyID_0000,vendorID_0040,ECP
2000000064,companyID_0000,vendorID_0040,ECP
2000000065,companyID_0000,vendorID_0040,ECP
2000000066,companyID_0000,vendorID_0040,ECP
2000000067,companyID_0000,vendorID_0040,ECP
2000000068,companyID_0000,vendorID_0040,ECP
2000000069,companyID_0000,vendorID_0040,ECP
2000000070,companyID_0000,vendorID_0040,ECP
2000000071,companyID_0000,vendorID_0040,ECP
2000000072,companyID_0000,vendorID_0040,ECP
2000000073,companyID_0000,vendorID_0000,ECP
2000000074,companyID_0000,vendorID_0029,ECP
2000000075,companyID_0000,vendorID_0028,ECP
2000000076,companyID_0000,vendorID_0041,ECP
2000000077,companyID_0000,vendorID_0042,ECP
2000000078,companyID_0000,vendorID_0043,ECP
2000000079,companyID_0000,vendorID_0027,ECP
2000000080,companyID_0000,vendorID_0035,ECP
2000000081,companyID_0000,vendorID_0044,ECP
2000000082,companyID_0000,vendorID_0045,ECP
2000000083,companyID_0000,vendorID_0000,ECP
2000000084,companyID_0000,vendorID_0046,ECP
2000000085,companyID_0000,vendorID_0027,ECP
2000000086,companyID_0000,vendorID_0003,ECP
2000000087,companyID_0000,vendorID_0021,ECP
