EBELN,WEBRE,EBELP,PSTYP
2000000000,,00001,0
2000000001,X,00001,0
2000000002,X,00001,0
2000000003,,00001,0
2000000003,,00002,0
2000000003,,00003,0
2000000004,,00001,0
2000000005,,00001,0
2000000005,X,00002,0
2000000006,X,00001,0
2000000007,,00001,0
2000000008,X,00001,0
2000000009,X,00001,0
2000000010,X,00001,0
2000000011,X,00001,0
2000000012,,00001,0
2000000013,X,00001,0
2000000014,X,00001,0
2000000015,X,00001,0
2000000016,X,00001,0
2000000017,X,00001,0
2000000018,X,00001,0
2000000019,X,00001,0
2000000020,X,00001,0
2000000021,X,00001,0
2000000022,X,00001,0
2000000023,X,00001,0
2000000024,X,00001,0
2000000025,X,00001,0
2000000026,,00001,0
2000000026,,00002,0
2000000027,X,00001,0
2000000028,X,00001,0
2000000029,,00001,0
2000000029,,00002,0
2000000029,,00003,0
2000000030,X,00001,0
2000000031,,00001,0
2000000032,,00001,0
2000000033,X,00001,0
2000000034,X,00001,0
2000000035,X,00001,0
2000000036,X,00001,0
2000000037,,00001,0
2000000037,,00002,0
2000000037,,00003,0
2000000038,X,00001,0
2000000039,X,00001,0
2000000039,X,00002,0
2000000040,X,00001,0
2000000041,X,00001,0
2000000042,X,00001,0
2000000043,X,00001,0
2000000044,,00001,0
2000000045,,00001,0
2000000045,,00002,0
2000000046,X,00001,0
2000000047,X,00001,0
2000000048,X,00001,0
2000000049,X,00001,0
2000000050,,00001,0
2000000051,X,00001,0
2000000052,X,00001,0
2000000053,,00001,0
2000000054,,00001,0
2000000054,,00002,0
2000000054,,00003,0
2000000054,,00004,0
2000000055,X,00001,0
2000000056,X,00001,0
2000000057,X,00001,0
2000000058,X,00001,0
2000000059,X,00001,0
2000000060,X,00001,0
2000000061,X,00001,0
2000000062,X,00001,0
2000000063,X,00001,0
2000000064,X,00001,0
2000000065,X,00001,0
2000000066,X,00001,0
2000000067,X,00001,0
2000000068,X,00001,0
2000000069,X,00001,0
2000000070,X,00001,0
2000000071,X,00001,0
2000000072,X,00001,0
2000000073,,00001,0
2000000074,X,00001,0
2000000075,X,00001,0
2000000076,,00001,0
2000000076,,00002,0
2000000076,X,00003,0
2000000077,,00001,0
2000000077,X,00002,0
2000000078,X,00001,0
2000000079,,00001,0
2000000079,,00002,0
2000000079,,00003,0
2000000080,,00001,0
2000000080,X,00002,0
2000000081,X,00001,0
2000000082,,00001,0
2000000082,,00002,0
2000000083,,00001,0
2000000083,,00002,0
2000000083,,00003,0
2000000084,,00001,0
2000000085,,00001,0
2000000086,,00001,0
2000000086,,00002,0
2000000087,X,00001,0
2000000088,X,00001,0
2000000089,X,00001,0
2000000090,,00001,0
2000000091,X,00001,0
2000000092,,00001,0
2000000093,X,00001,0
2000000094,,00001,0
2000000095,,00001,0
2000000096,,00001,0
2000000097,X,00001,0
2000000098,,00001,0
2000000098,,00002,0
2000000098,,00003,0
2000000099,,00001,0
2000000100,X,00001,0
2000000101,X,00001,0
2000000102,X,00001,0
2000000103,X,00001,0
2000000104,X,00001,0
2000000105,X,00001,0
2000000106,X,00001,0
2000000107,X,00001,0
2000000108,X,00001,0
2000000109,X,00001,0
2000000110,,00001,0
2000000111,X,00001,0
2000000112,X,00001,0
2000000113,,00001,0
2000000114,X,00001,0
2000000115,X,00001,0
2000000116,,00001,0
2000000117,,00001,0
2000000117,,00002,0
2000000117,,00003,0
2000000117,,00004,0
2000000117,,00005,0
2000000117,,00006,0
2000000118,,00001,0
2000000119,X,00001,0
2000000120,X,00001,0
2000000121,,00001,0
2000000121,,00002,0
2000000121,,00003,0
2000000121,,00004,0
2000000121,,00005,0
2000000121,,00006,0
2000000121,,00007,0
2000000121,,00008,0
2000000121,,00009,0
2000000121,,00010,0
2000000121,,00011,0
2000000122,X,00001,0
2000000123,,00001,0
2000000123,,00002,0
2000000123,,00003,0
