user,cumulative_net_worth_eur,case_id,timestamp,activity
batch_00,298.0,2000000000_00001,2018-01-02T12:53:00.000Z,SRM: Created
batch_00,298.0,2000000000_00001,2018-01-02T13:53:00.000Z,SRM: Complete
batch_00,298.0,2000000000_00001,2018-01-02T13:53:00.000Z,SRM: Awaiting Approval
batch_00,298.0,2000000000_00001,2018-01-02T13:53:00.000Z,SRM: Document Completed
batch_00,298.0,2000000000_00001,2018-01-02T13:53:00.000Z,SRM: In Transfer to Execution Syst.
batch_00,298.0,2000000000_00001,2018-01-02T13:53:00.000Z,SRM: Ordered
batch_00,298.0,2000000000_00001,2018-01-02T13:53:00.000Z,SRM: Change was Transmitted
user_000,298.0,2000000000_00001,2018-01-02T13:53:00.000Z,Create Purchase Order Item
NONE,298.0,2000000000_00001,2018-01-02T22:59:00.000Z,Vendor creates invoice
user_000,298.0,2000000000_00001,2018-03-06T06:44:00.000Z,Record Goods Receipt
user_001,298.0,2000000000_00001,2018-03-06T07:53:00.000Z,Record Invoice Receipt
user_002,298.0,2000000000_00001,2018-03-29T13:06:00.000Z,Clear Invoice
batch_00,557.0,2000000001_00001,2018-01-03T08:49:00.000Z,SRM: Created
batch_00,557.0,2000000001_00001,2018-01-03T09:49:00.000Z,SRM: Complete
batch_00,557.0,2000000001_00001,2018-01-03T09:49:00.000Z,SRM: Awaiting Approval
batch_00,557.0,2000000001_00001,2018-01-03T09:49:00.000Z,SRM: Document Completed
batch_00,557.0,2000000001_00001,2018-01-03T09:49:00.000Z,SRM: Ordered
batch_00,557.0,2000000001_00001,2018-01-03T09:49:00.000Z,SRM: In Transfer to Execution Syst.
batch_00,557.0,2000000001_00001,2018-01-03T09:49:00.000Z,SRM: Change was Transmitted
user_000,557.0,2000000001_00001,2018-01-03T09:49:00.000Z,Create Purchase Order Item
NONE,557.0,2000000001_00001,2018-01-10T22:59:00.000Z,Vendor creates invoice
user_000,557.0,2000000001_00001,2018-01-16T12:09:00.000Z,Record Goods Receipt
NONE,557.0,2000000001_00001,2018-01-16T12:09:00.000Z,Record Service Entry Sheet
user_004,557.0,2000000001_00001,2018-01-16T14:44:00.000Z,Record Invoice Receipt
user_005,557.0,2000000001_00001,2018-03-08T12:21:00.000Z,Clear Invoice
user_003,557.0,2000000001_00001,2019-01-17T10:58:00.000Z,SRM: In Transfer to Execution Syst.
user_003,557.0,2000000001_00001,2019-01-17T10:58:00.000Z,SRM: Transfer Failed (E.Sys.)
batch_00,76210.0,2000000002_00001,2018-01-04T13:17:00.000Z,SRM: Created
batch_00,76210.0,2000000002_00001,2018-01-04T14:17:00.000Z,SRM: Complete
batch_00,76210.0,2000000002_00001,2018-01-04T14:17:00.000Z,SRM: Awaiting Approval
