LIFNR,NAME1
vendorID_0000,vendor_0000
vendorID_0001,vendor_0001
vendorID_0002,vendor_0002
vendorID_0003,vendor_0003
vendorID_0004,vendor_0004
vendorID_0005,vendor_0005
vendorID_0006,vendor_0006
vendorID_0007,vendor_0007
vendorID_0008,vendor_0008
vendorID_0009,vendor_0009
vendorID_0010,vendor_0010
vendorID_0011,vendor_0011
vendorID_0012,vendor_0012
vendorID_0013,vendor_0013
vendorID_0014,vendor_0014
vendorID_0015,vendor_0015
vendorID_0016,vendor_0016
vendorID_0017,vendor_0017
vendorID_0018,vendor_0018
vendorID_0019,vendor_0019
vendorID_0020,vendor_0020
vendorID_0021,vendor_0021
vendorID_0022,vendor_0022
vendorID_0023,vendor_0023
vendorID_0024,vendor_0024
vendorID_0025,vendor_0025
vendorID_0026,vendor_0026
vendorID_0027,vendor_0027
vendorID_0028,vendor_0028
vendorID_0029,vendor_0029
vendorID_0030,vendor_0030
vendorID_0031,vendor_0031
vendorID_0032,vendor_0032
vendorID_0033,vendor_0033
vendorID_0034,vendor_0034
vendorID_0035,vendor_0035
vendorID_0036,vendor_0036
vendorID_0037,vendor_0037
vendorID_0038,vendor_0038
vendorID_0039,vendor_0039
vendorID_0040,vendor_0040
vendorID_0041,vendor_0041
vendorID_0042,vendor_0042
vendorID_0043,vendor_0043
vendorID_0044,vendor_0044
vendorID_0045,vendor_0045
vendorID_0046,vendor_0046
vendorID_0047,vendor_0047
vendorID_0048,vendor_0048
vendorID_0049,vendor_0049
vendorID_0050,vendor_0050
vendorID_0051,vendor_0051
vendorID_0052,vendor_0052
vendorID_0053,vendor_0053
vendorID_0054,vendor_0054
vendorID_0055,vendor_0055
vendorID_0056,vendor_0056
vendorID_0057,vendor_0057
vendorID_0058,vendor_0058
vendorID_0059,vendor_0059
vendorID_0060,vendor_0060
vendorID_0061,vendor_0061
vendorID_0062,vendor_0062
vendorID_0063,vendor_0063
vendorID_0064,vendor_0064
vendorID_0065,vendor_0065
vendorID_0066,vendor_0066
vendorID_0067,vendor_0067
vendorID_0068,vendor_0068
vendorID_0069,vendor_0069
vendorID_0070,vendor_0070
vendorID_0071,vendor_0071
vendorID_0072,vendor_0072
vendorID_0073,vendor_0073
vendorID_0074,vendor_0074
vendorID_0075,vendor_0075
vendorID_0076,vendor_0076
vendorID_0077,vendor_0077
vendorID_0078,vendor_0078
vendorID_0079,vendor_0079
vendorID_0080,vendor_0080
vendorID_0081,vendor_0081
vendorID_0082,vendor_0082
vendorID_0083,vendor_0083
vendorID_0084,vendor_0084
vendorID_0085,vendor_0085
vendorID_0086,vendor_0086
vendorID_0087,vendor_0087
vendorID_0088,vendor_0088
vendorID_0089,vendor_0089
vendorID_0090,vendor_0090
vendorID_0091,vendor_0091
vendorID_0092,vendor_0092
