CPUDT,MJAHR,MBLNR,CPUTM
20180306,2018,4900000001,064400
20180116,2018,4900000002,120900
20180206,2018,4900000003,145300
20180816,2018,4900000004,102000
20180112,2018,4900000005,131400
20180112,2018,4900000006,131400
20180112,2018,4900000007,131400
20180112,2018,4900000008,131300
20180119,2018,4900000009,080900
20180109,2018,4900000010,090400
20180221,2018,4900000011,125300
20180115,2018,4900000012,115300
20180308,2018,4900000013,072700
20180110,2018,4900000014,151100
20180928,2018,4900000015,082800
20181218,2018,4900000016,163800
20180111,2018,4900000017,101000
20180226,2018,4900000018,084100
20180116,2018,4900000019,132700
20180216,2018,4900000020,154700
20180410,2018,4900000021,140800
20180724,2018,4900000022,102900
20180914,2018,4900000023,124400
20181128,2018,4900000024,122300
20180125,2018,4900000025,001600
20180205,2018,4900000026,104600
20180326,2018,4900000027,073200
20180326,2018,4900000028,073400
20180326,2018,4900000029,073600
20180326,2018,4900000030,073900
20180429,2018,4900000031,162600
20180429,2018,4900000032,162800
20180429,2018,4900000033,163000
20180529,2018,4900000034,074000
20180725,2018,4900000035,105100
20180725,2018,4900000036,121600
20180725,2018,4900000037,122300
20180830,2018,4900000038,123500
20180928,2018,4900000039,084300
20180928,2018,4900000040,084700
20180928,2018,4900000041,085100
20180928,2018,4900000042,085300
20181114,2018,4900000043,153700
20180115,2018,4900000044,134800
20180125,2018,4900000045,002000
20180129,2018,4900000046,083900
20180202,2018,4900000047,160600
20180216,2018,4900000048,155800
20180222,2018,4900000049,115000
20180228,2018,4900000050,133900
20180327,2018,4900000051,091300
20180327,2018,4900000052,091600
20180425,2018,4900000053,123500
20180425,2018,4900000054,123900
20180425,2018,4900000055,125000
20180425,2018,4900000056,125900
20180425,2018,4900000057,130300
20180425,2018,4900000058,130500
20180425,2018,4900000059,143700
20180527,2018,4900000060,185600
20180527,2018,4900000061,190200
20180527,2018,4900000062,190900
20180527,2018,4900000063,191200
20180626,2018,4900000064,205900
20180626,2018,4900000065,210400
20180626,2018,4900000066,210600
20180626,2018,4900000067,210900
20180628,2018,4900000068,112100
20180724,2018,4900000069,135500
20180724,2018,4900000070,135600
20180724,2018,4900000071,135900
20180727,2018,4900000072,114600
20180830,2018,4900000073,144700
20180830,2018,4900000074,144900
20180830,2018,4900000075,145200
20180830,2018,4900000076,145700
20180830,2018,4900000077,150000
20180928,2018,4900000078,055700
20180928,2018,4900000079,060000
20180928,2018,4900000080,060300
20180928,2018,4900000081,060700
20181030,2018,4900000082,153100
20181030,2018,4900000083,153500
20181030,2018,4900000084,153900
20181217,2018,4900000085,110400
20181217,2018,4900000086,110700
20181217,2018,4900000087,111000
20181217,2018,4900000088,111300
20181217,2018,4900000089,111900
20181217,2018,4900000090,112200
20181217,2018,4900000091,112400
20181217,2018,4900000092,112700
20181219,2018,4900000093,100300
20180227,2018,4900000094,210200
20180227,2018,4900000095,210600
20180227,2018,4900000096,210800
20180227,2018,4900000097,211200
20180430,2018,4900000098,153000
20180430,2018,4900000099,153200
20180430,2018,4900000100,153400
20180529,2018,4900000101,080700
20180628,2018,4900000102,120900
20180628,2018,4900000103,121200
20180628,2018,4900000104,121400
20180628,2018,4900000105,121700
20180727,2018,4900000106,123000
20180727,2018,4900000107,123400
20180928,2018,4900000108,090300
20181126,2018,4900000109,010800
20181126,2018,4900000110,011200
20181126,2018,4900000111,013000
20181126,2018,4900000112,013200
20181126,2018,4900000113,013500
20181126,2018,4900000114,013800
20181126,2018,4900000115,015200
20181126,2018,4900000116,015500
20181126,2018,4900000117,015800
20180131,2018,4900000118,100700
20180205,2018,4900000119,104000
20180320,2018,4900000120,114700
20180320,2018,4900000121,115100
20180320,2018,4900000122,115600
20180327,2018,4900000123,100600
20180410,2018,4900000124,130900
20180410,2018,4900000125,132100
20180410,2018,4900000126,133500
20180527,2018,4900000127,191700
20180527,2018,4900000128,193700
20180529,2018,4900000129,093400
20180529,2018,4900000130,093800
20180626,2018,4900000131,211300
20180628,2018,4900000132,105900
20180628,2018,4900000133,110600
20180724,2018,4900000134,141300
20180724,2018,4900000135,141800
20180724,2018,4900000136,142100
20180727,2018,4900000137,112300
20180727,2018,4900000138,113700
20180727,2018,4900000139,114100
20180731,2018,4900000140,101500
20180928,2018,4900000141,061300
20180928,2018,4900000142,061700
20180928,2018,4900000143,062100
20180928,2018,4900000144,062500
20180928,2018,4900000145,062900
20180928,2018,4900000146,063400
20181011,2018,4900000147,104400
20181030,2018,4900000148,144800
20181030,2018,4900000149,145200
20181030,2018,4900000150,150600
20181030,2018,4900000151,151700
20181114,2018,4900000152,150700
20181114,2018,4900000153,152000
20181114,2018,4900000154,160100
20181128,2018,4900000155,211200
20181129,2018,4900000156,100900
20181130,2018,4900000157,121000
20181203,2018,4900000158,152200
