BELNR,LIFNR,GJAHR,CPUDT,RMWWR,CPUTM
5100000001,vendorID_0000,2018,20180102,298.0,225900
5100000002,vendorID_0001,2018,20180110,557.0,225900
5100000003,vendorID_0002,2018,20180206,76210.0,225900
5100000004,vendorID_0003,2018,20180108,28.0,225900
5100000005,vendorID_0003,2018,20180108,37.0,225900
5100000006,vendorID_0003,2018,20180108,44.0,225900
5100000007,vendorID_0000,2018,20180108,166.0,225900
5100000008,vendorID_0004,2018,20180108,433.0,225900
5100000009,vendorID_0005,2018,20180108,37819.0,225900
5100000010,vendorID_0006,2018,20180108,3227.0,225900
5100000011,vendorID_0007,2018,20180110,18186.0,225900
5100000012,vendorID_0008,2018,20180102,1039.0,225900
5100000013,vendorID_0009,2018,20180109,1668264.0,225900
5100000014,vendorID_0009,2018,20180907,1668264.0,215900
5100000015,vendorID_0010,2018,20180110,112583.0,225900
5100000016,vendorID_0011,2018,20180129,320.0,225900
5100000017,vendorID_0012,2018,20180122,857.0,225900
5100000018,vendorID_0013,2018,20180206,17414.0,225900
5100000019,vendorID_0013,2018,20180329,17414.0,215900
5100000020,vendorID_0013,2018,20180625,17414.0,215900
5100000021,vendorID_0013,2018,20180913,17414.0,215900
5100000022,vendorID_0013,2018,20181114,17414.0,225900
5100000023,vendorID_0014,2018,20180130,457836.0,225900
5100000024,vendorID_0014,2018,20180131,457836.0,225900
5100000025,vendorID_0014,2018,20180228,457836.0,225900
5100000026,vendorID_0014,2018,20180330,457836.0,215900
5100000027,vendorID_0014,2018,20180331,457836.0,215900
5100000028,vendorID_0014,2018,20180430,457836.0,215900
5100000029,vendorID_0014,2018,20180530,457836.0,215900
5100000030,vendorID_0014,2018,20180630,457836.0,215900
5100000031,vendorID_0014,2018,20180730,457836.0,215900
5100000032,vendorID_0014,2018,20180731,457836.0,215900
5100000033,vendorID_0014,2018,20180822,457836.0,215900
5100000034,vendorID_0014,2018,20180831,457836.0,215900
5100000035,vendorID_0014,2018,20180928,457836.0,215900
5100000036,vendorID_0015,2018,20180107,405009.0,225900
5100000037,vendorID_0015,2018,20180114,405009.0,225900
5100000038,vendorID_0015,2018,20180121,405009.0,225900
5100000039,vendorID_0015,2018,20180128,405009.0,225900
5100000040,vendorID_0015,2018,20180204,405009.0,225900
5100000041,vendorID_0015,2018,20180211,405009.0,225900
5100000042,vendorID_0015,2018,20180218,405009.0,225900
5100000043,vendorID_0015,2018,20180225,405009.0,225900
5100000044,vendorID_0015,2018,20180304,405009.0,225900
5100000045,vendorID_0015,2018,20180311,405009.0,225900
5100000046,vendorID_0015,2018,20180318,405009.0,225900
5100000047,vendorID_0015,2018,20180325,405009.0,215900
5100000048,vendorID_0015,2018,20180401,405009.0,215900
5100000049,vendorID_0015,2018,20180408,405009.0,215900
5100000050,vendorID_0015,2018,20180415,405009.0,215900
5100000051,vendorID_0015,2018,20180422,405009.0,215900
5100000052,vendorID_0015,2018,20180429,405009.0,215900
5100000053,vendorID_0015,2018,20180506,405009.0,215900
5100000054,vendorID_0015,2018,20180513,405009.0,215900
5100000055,vendorID_0015,2018,20180520,405009.0,215900
5100000056,vendorID_0015,2018,20180527,405009.0,215900
5100000057,vendorID_0015,2018,20180603,405009.0,215900
5100000058,vendorID_0015,2018,20180610,405009.0,215900
5100000059,vendorID_0015,2018,20180617,405009.0,215900
5100000060,vendorID_0015,2018,20180624,405009.0,215900
5100000061,vendorID_0015,2018,20180701,405009.0,215900
5100000062,vendorID_0015,2018,20180708,405009.0,215900
5100000063,vendorID_0015,2018,20180715,405009.0,215900
5100000064,vendorID_0015,2018,20180722,405009.0,215900
5100000065,vendorID_0015,2018,20180729,405009.0,215900
5100000066,vendorID_0015,2018,20180805,405009.0,215900
5100000067,vendorID_0015,2018,20180812,405009.0,215900
5100000068,vendorID_0015,2018,20180819,405009.0,215900
5100000069,vendorID_0015,2018,20180826,405009.0,215900
5100000070,vendorID_0015,2018,20180902,405009.0,215900
5100000071,vendorID_0015,2018,20180909,405009.0,215900
5100000072,vendorID_0015,2018,20180916,405009.0,215900
5100000073,vendorID_0015,2018,20180923,405009.0,215900
5100000074,vendorID_0015,2018,20180930,405009.0,215900
5100000075,vendorID_0015,2018,20181007,405009.0,215900
5100000076,vendorID_0015,2018,20181014,405009.0,215900
5100000077,vendorID_0015,2018,20181021,405009.0,215900
5100000078,vendorID_0015,2018,20181028,405009.0,225900
5100000079,vendorID_0015,2018,20181104,405009.0,225900
5100000080,vendorID_0015,2018,20181111,405009.0,225900
5100000081,vendorID_0015,2018,20181118,405009.0,225900
5100000082,vendorID_0015,2018,20181125,405009.0,225900
5100000083,vendorID_0015,2018,20181202,405009.0,225900
5100000084,vendorID_0015,2018,20181209,405009.0,225900
