BELNR,WRBTR,BUZEI,EBELP,GJAHR,EBELN
5100000001,298.0,1,00001,2018,2000000000
5100000002,557.0,1,00001,2018,2000000001
5100000003,76210.0,1,00001,2018,2000000002
5100000004,28.0,1,00001,2018,2000000003
5100000005,37.0,1,00002,2018,2000000003
5100000006,44.0,1,00003,2018,2000000003
5100000007,166.0,1,00001,2018,2000000004
5100000008,433.0,1,00001,2018,2000000005
5100000009,37819.0,1,00001,2018,2000000006
5100000010,3227.0,1,00001,2018,2000000007
5100000011,18186.0,1,00001,2018,2000000008
5100000012,1039.0,1,00001,2018,2000000009
5100000013,1668264.0,1,00001,2018,2000000010
5100000014,1668264.0,1,00001,2018,2000000010
5100000015,112583.0,1,00001,2018,2000000011
5100000016,320.0,1,00001,2018,2000000012
5100000017,857.0,1,00001,2018,2000000013
5100000018,17414.0,1,00001,2018,2000000014
5100000019,17414.0,1,00001,2018,2000000014
5100000020,17414.0,1,00001,2018,2000000014
5100000021,17414.0,1,00001,2018,2000000014
5100000022,17414.0,1,00001,2018,2000000014
5100000023,457836.0,1,00001,2018,2000000015
5100000024,457836.0,1,00001,2018,2000000015
5100000025,457836.0,1,00001,2018,2000000015
5100000026,457836.0,1,00001,2018,2000000015
5100000027,457836.0,1,00001,2018,2000000015
5100000028,457836.0,1,00001,2018,2000000015
5100000029,457836.0,1,00001,2018,2000000015
5100000030,457836.0,1,00001,2018,2000000015
5100000031,457836.0,1,00001,2018,2000000015
5100000032,457836.0,1,00001,2018,2000000015
5100000033,457836.0,1,00001,2018,2000000015
5100000034,457836.0,1,00001,2018,2000000015
5100000035,457836.0,1,00001,2018,2000000015
5100000036,405009.0,1,00001,2018,2000000016
5100000037,405009.0,1,00001,2018,2000000016
5100000038,405009.0,1,00001,2018,2000000016
5100000039,405009.0,1,00001,2018,2000000016
5100000040,405009.0,1,00001,2018,2000000016
5100000041,405009.0,1,00001,2018,2000000016
5100000042,405009.0,1,00001,2018,2000000016
5100000043,405009.0,1,00001,2018,2000000016
5100000044,405009.0,1,00001,2018,2000000016
5100000045,405009.0,1,00001,2018,2000000016
5100000046,405009.0,1,00001,2018,2000000016
5100000047,405009.0,1,00001,2018,2000000016
5100000048,405009.0,1,00001,2018,2000000016
5100000049,405009.0,1,00001,2018,2000000016
5100000050,405009.0,1,00001,2018,2000000016
5100000051,405009.0,1,00001,2018,2000000016
5100000052,405009.0,1,00001,2018,2000000016
5100000053,405009.0,1,00001,2018,2000000016
5100000054,405009.0,1,00001,2018,2000000016
5100000055,405009.0,1,00001,2018,2000000016
5100000056,405009.0,1,00001,2018,2000000016
5100000057,405009.0,1,00001,2018,2000000016
5100000058,405009.0,1,00001,2018,2000000016
5100000059,405009.0,1,00001,2018,2000000016
5100000060,405009.0,1,00001,2018,2000000016
5100000061,405009.0,1,00001,2018,2000000016
5100000062,405009.0,1,00001,2018,2000000016
5100000063,405009.0,1,00001,2018,2000000016
5100000064,405009.0,1,00001,2018,2000000016
5100000065,405009.0,1,00001,2018,2000000016
5100000066,405009.0,1,00001,2018,2000000016
5100000067,405009.0,1,00001,2018,2000000016
5100000068,405009.0,1,00001,2018,2000000016
5100000069,405009.0,1,00001,2018,2000000016
5100000070,405009.0,1,00001,2018,2000000016
5100000071,405009.0,1,00001,2018,2000000016
5100000072,405009.0,1,00001,2018,2000000016
5100000073,405009.0,1,00001,2018,2000000016
5100000074,405009.0,1,00001,2018,2000000016
5100000075,405009.0,1,00001,2018,2000000016
5100000076,405009.0,1,00001,2018,2000000016
5100000077,405009.0,1,00001,2018,2000000016
5100000078,405009.0,1,00001,2018,2000000016
5100000079,405009.0,1,00001,2018,2000000016
5100000080,405009.0,1,00001,2018,2000000016
5100000081,405009.0,1,00001,2018,2000000016
5100000082,405009.0,1,00001,2018,2000000016
5100000083,405009.0,1,00001,2018,2000000016
5100000084,405009.0,1,00001,2018,2000000016
5100000085,405009.0,1,00001,2018,2000000016
5100000086,372390.0,1,00001,2018,2000000017
5100000087,372390.0,1,00001,2018,2000000017
5100000088,372390.0,1,00001,2018,2000000017
5100000089,372390.0,1,00001,2018,2000000017
5100000090,372390.0,1,00001,2018,2000000017
5100000091,372390.0,1,00001,2018,2000000017
5100000092,372390.0,1,00001,2018,2000000017
5100000093,372390.0,1,00001,2018,2000000017
5100000094,372390.0,1,00001,2018,2000000017
5100000095,372390.0,1,00001,2018,2000000017
5100000096,372390.0,1,00001,2018,2000000017
5100000097,372390.0,1,00001,2018,2000000017
5100000098,950029.0,1,00001,2018,2000000018
5100000099,950029.0,1,00001,2018,2000000018
5100000100,950029.0,1,00001,2018,2000000018
5100000101,950029.0,1,00001,2018,2000000018
5100000102,950029.0,1,00001,2018,2000000018
5100000103,950029.0,1,00001,2018,2000000018
5100000104,950029.0,1,00001,2018,2000000018
5100000105,950029.0,1,00001,2018,2000000018
5100000106,950029.0,1,00001,2018,2000000018
5100000107,950029.0,1,00001,2018,2000000018
5100000108,950029.0,1,00001,2018,2000000018
5100000109,502814.0,1,00001,2018,2000000019
5100000110,502814.0,1,00001,2018,2000000019
5100000111,502814.0,1,00001,2018,2000000019
5100000112,502814.0,1,00001,2018,2000000019
5100000113,502814.0,1,00001,2018,2000000019
5100000114,502814.0,1,00001,2018,2000000019
5100000115,502814.0,1,00001,2018,2000000019
5100000116,502814.0,1,00001,2018,2000000019
5100000117,502814.0,1,00001,2018,2000000019
5100000118,502814.0,1,00001,2018,2000000019
5100000119,502814.0,1,00001,2018,2000000019
5100000120,155884.0,1,00001,2018,2000000020
5100000121,155884.0,1,00001,2018,2000000020
5100000122,155884.0,1,00001,2018,2000000020
5100000123,155884.0,1,00001,2018,2000000020
5100000124,155884.0,1,00001,2018,2000000020
5100000125,155884.0,1,00001,2018,2000000020
5100000126,155884.0,1,00001,2018,2000000020
5100000127,155884.0,1,00001,2018,2000000020
5100000128,155884.0,1,00001,2018,2000000020
5100000129,155884.0,1,00001,2018,2000000020
5100000130,155884.0,1,00001,2018,2000000020
5100000131,277128.0,1,00001,2018,2000000021
5100000132,277128.0,1,00001,2018,2000000021
5100000133,277128.0,1,00001,2018,2000000021
5100000134,277128.0,1,00001,2018,2000000021
5100000135,277128.0,1,00001,2018,2000000021
5100000136,277128.0,1,00001,2018,2000000021
5100000137,277128.0,1,00001,2018,2000000021
5100000138,277128.0,1,00001,2018,2000000021
5100000139,277128.0,1,00001,2018,2000000021
5100000140,4312806.0,1,00001,2018,2000000022
5100000141,4312806.0,1,00001,2018,2000000022
5100000142,4312806.0,1,00001,2018,2000000022
5100000143,4312806.0,1,00001,2018,2000000022
5100000144,4312806.0,1,00001,2018,2000000022
5100000145,4312806.0,1,00001,2018,2000000022
5100000146,4312806.0,1,00001,2018,2000000022
5100000147,4312806.0,1,00001,2018,2000000022
5100000148,4312806.0,1,00001,2018,2000000022
5100000149,4312806.0,1,00001,2018,2000000022
5100000150,4312806.0,1,00001,2018,2000000022
5100000151,4312806.0,1,00001,2018,2000000022
5100000152,22251.0,1,00001,2018,2000000023
5100000153,58196.0,1,00001,2018,2000000024
5100000154,58196.0,1,00001,2018,2000000024
5100000155,58196.0,1,00001,2018,2000000024
5100000156,58196.0,1,00001,2018,2000000024
5100000157,58196.0,1,00001,2018,2000000024
5100000158,58196.0,1,00001,2018,2000000024
5100000159,58196.0,1,00001,2018,2000000024
5100000160,1368.0,1,00001,2018,2000000025
5100000161,74.0,1,00001,2018,2000000026
5100000162,45.0,1,00002,2018,2000000026
5100000163,6754.0,1,00001,2018,2000000027
5100000164,6754.0,1,00001,2018,2000000027
5100000165,6754.0,1,00001,2018,2000000027
5100000166,6754.0,1,00001,2018,2000000027
5100000167,6754.0,1,00001,2018,2000000027
5100000168,6754.0,1,00001,2018,2000000027
5100000169,6754.0,1,00001,2018,2000000028
5100000170,6754.0,1,00001,2018,2000000028
5100000171,6754.0,1,00001,2018,2000000028
5100000172,6754.0,1,00001,2018,2000000028
5100000173,6754.0,1,00001,2018,2000000028
5100000174,6754.0,1,00001,2018,2000000028
5100000175,83.0,1,00001,2018,2000000029
5100000176,19.0,1,00002,2018,2000000029
5100000177,5.0,1,00003,2018,2000000029
5100000178,549.0,1,00001,2018,2000000030
5100000179,22.0,1,00001,2018,2000000031
5100000180,106.0,1,00001,2018,2000000032
5100000181,12852.0,1,00001,2018,2000000033
5100000182,277128.0,1,00001,2018,2000000034
5100000183,277128.0,1,00001,2018,2000000034
5100000184,277128.0,1,00001,2018,2000000034
5100000185,277128.0,1,00001,2018,2000000034
5100000186,277128.0,1,00001,2018,2000000034
5100000187,277128.0,1,00001,2018,2000000034
5100000188,277128.0,1,00001,2018,2000000034
5100000189,277128.0,1,00001,2018,2000000034
5100000190,277128.0,1,00001,2018,2000000034
5100000191,3065.0,1,00001,2018,2000000035
5100000192,6903.0,1,00001,2018,2000000036
5100000193,938.0,1,00001,2018,2000000037
5100000194,34.0,1,00002,2018,2000000037
5100000195,63.0,1,00003,2018,2000000037
5100000196,57.0,1,00001,2018,2000000038
5100000197,428.0,1,00001,2018,2000000039
5100000198,127.0,1,00002,2018,2000000039
5100000199,3464.0,1,00001,2018,2000000040
5100000200,3464.0,1,00001,2018,2000000040
5100000201,3464.0,1,00001,2018,2000000040
5100000202,260.0,1,00001,2018,2000000041
5100000203,45.0,1,00001,2018,2000000042
5100000204,181.0,1,00001,2018,2000000044
